# .test .cputime .temperature .time_mat1 .time_mat2
227 0.196536  4.383 0.001637 0.001943
228 0.197843  3.409 0.001609 0.002016
229 0.199684  3.896 0.001616 0.001987
230 0.199721  3.409 0.001674 0.001994
231 0.201196  4.383 0.001650 0.002075
232 0.201436  3.896 0.001713 0.002051
233 0.202674  3.896 0.001677 0.002143
234 0.203735  4.870 0.001698 0.002158
235 0.204305  3.896 0.001706 0.002198
236 0.205065  3.409 0.001776 0.002130
237 0.205826  4.383 0.001718 0.002202
238 0.206319  3.896 0.001822 0.002173
239 0.207507  3.896 0.001803 0.002199
240 0.208553  4.870 0.001847 0.002213
241 0.208758  4.383 0.001776 0.002315
242 0.210935  3.409 0.001859 0.002299
243 0.211276  2.922 0.001865 0.002300
244 0.211678  4.870 0.001902 0.002304
245 0.213002  4.383 0.001839 0.002382
246 0.214413  3.409 0.001885 0.002388
247 0.214742  4.383 0.001927 0.002365
248 0.216285  3.409 0.001914 0.002449
249 0.215848  4.870 0.001902 0.002503
250 0.217009  4.870 0.002001 0.002452
251 0.217731  3.896 0.001937 0.002549
252 0.218619  4.870 0.001977 0.002538
253 0.223681  4.870 0.001971 0.002594
254 0.220767  4.383 0.002072 0.002543
255 0.234107  3.409 0.002000 0.002641
256 0.222621  3.409 0.002048 0.002674
257 0.236506  4.383 0.002087 0.002615
258 0.225277  4.383 0.002080 0.002719
259 0.232777  3.896 0.002119 0.002658
260 0.226757  3.896 0.002111 0.002760
261 0.228561  4.383 0.002153 0.002788
262 0.228311  4.870 0.002150 0.002840
263 0.228919  3.896 0.002191 0.002820
264 0.229877  3.896 0.002240 0.002813
265 0.231331  5.357 0.002240 0.002859
266 0.231975  4.383 0.002213 0.003006
267 0.232629  3.896 0.002275 0.002878
268 0.233432  3.409 0.002247 0.002970
269 0.233824  3.896 0.002262 0.003006
270 0.235087  3.896 0.002287 0.003018
271 0.235779  3.896 0.002350 0.002981
272 0.235915  3.896 0.002321 0.003105
273 0.237652  4.383 0.002393 0.003148
274 0.237671  3.896 0.002422 0.003139
275 0.238324  4.383 0.002418 0.003143
276 0.240207  3.896 0.002384 0.003200
277 0.240439  4.383 0.002455 0.003216
278 0.241143  4.870 0.002473 0.003228
279 0.242173  3.896 0.002503 0.003244
280 0.242629  4.383 0.002507 0.003288
281 0.243646  5.357 0.002483 0.003339
282 0.245029  4.383 0.002494 0.003397
283 0.245845  3.896 0.002523 0.003436
284 0.246654  4.870 0.002534 0.003442
285 0.248311  4.383 0.002607 0.003444
286 0.248409  4.870 0.002618 0.003447
287 0.249614  3.896 0.002638 0.003475
288 0.249461  5.844 0.002629 0.003511
289 0.251452  4.383 0.002679 0.003558
290 0.251877  4.383 0.002673 0.003567
291 0.253053  4.383 0.002721 0.003607
292 0.253392  4.383 0.002712 0.003593
293 0.255230  4.870 0.002762 0.003698
294 0.255028  4.383 0.002705 0.003688
295 0.255312  5.357 0.002803 0.003747
296 0.257367  4.870 0.002795 0.003808
297 0.257985  5.357 0.002798 0.003833
298 0.258218  4.870 0.002820 0.003776
299 0.259750  5.357 0.002831 0.003879
300 0.260054  4.383 0.002859 0.003928
301 0.263896  4.870 0.002936 0.003908
302 0.262232  4.870 0.002931 0.004020
303 0.263183  4.383 0.002982 0.004007
304 0.265205  4.383 0.002961 0.004045
305 0.266069  5.357 0.002950 0.004052
306 0.266890  4.870 0.003003 0.004124
307 0.267572  4.870 0.003059 0.004112
308 0.268328  3.409 0.003043 0.004190
309 0.269798  5.357 0.003073 0.004204
310 0.269307  4.383 0.003021 0.004228
311 0.269986  4.870 0.003133 0.004286
312 0.270640  5.357 0.003058 0.004265
313 0.271187  5.357 0.003152 0.004367
314 0.272427  5.844 0.003127 0.004328
315 0.273363  4.383 0.003210 0.004352
316 0.273513  4.383 0.003202 0.004457
317 0.275284  6.331 0.003245 0.004444
318 0.275477  4.870 0.003243 0.004464
